ID,timestamp,cpu_type,cpu_limit,ram_limit,cpu_usage,ram_usage,num_req,conc_lvl,latency
1,2022-03-11 18:13:01,Intel Xeon Gold 6312U,1.9,512M,0.156597,46358528.0,500,11,1097000
36722,2021-11-05 23:18:41,AMD EPYC 7313P,3.0,70M,0.325658,60592128.0,400,21,2063000
18250,2021-11-12 21:40:55,Intel Core i7-11700F,2.0,69M,0.362892,58486784.0,400,101,9706000
52852,2021-11-12 16:26:51,AMD Ryzen 7 5700G,2.0,72M,0.384626,51601408.0,800,41,3856000
7648,2021-11-13 17:53:36,AMD Ryzen 5 5500U,2.5,70M,0.122943,55361536.0,200,1,39000
4217,2022-03-17 17:51:00,Intel Core i9-11900KF,1.5,512M,0.13286,50319360.0,600,51,4864000
18067,2022-03-19 06:50:31,Intel Xeon Silver 4316,0.4,512M,0.169803,48713728.0,400,11,1028000
29905,2022-03-16 14:03:46,AMD Ryzen 3 5300G,2.0,128M,0.202515,49242112.0,600,21,1982000
54168,2022-03-11 07:43:55,Intel Xeon Platinum 8380,0.3,768M,0.129235,57950208.0,400,71,7943000
40865,2022-03-05 17:49:05,Intel Xeon Platinum 8353H,0.1,512M,0.097008,58773504.0,400,31,14396000
29936,2022-03-17 22:21:00,AMD Ryzen 7 5800HS,1.1,256M,0.108436,52850688.0,1000,41,4206000
44556,2021-11-10 09:04:39,Intel Xeon Platinum 8376H,0.5,69M,0.0,33943552.0,100,1,95000
46741,2022-03-05 15:45:46,Intel Xeon Platinum 8354H,0.1,512M,0.100463,70975488.0,700,91,39893000
30103,2021-11-15 11:46:55,Intel Xeon Gold 6312U,3.5,71M,0.355898,62517248.0,600,21,1962000
4571,2021-10-26 16:39:39,Intel Core i5-11400T,0.5,500M,0.257742,58626048.0,200,21,2521000
5386,2022-03-17 23:04:06,Intel Core i3-10105T,1.0,896M,0.128343,49647616.0,900,1,37000
38859,2021-11-11 18:32:08,Intel Core i5-11400,1.5,72M,0.300378,50597888.0,300,31,2891000
18299,2021-11-11 21:37:44,Intel Xeon Platinum 8368,3.0,73M,0.327482,62017536.0,500,101,9514000
50298,2022-03-18 00:22:59,Intel Core i3-10325,0.8,512M,0.0,11546624.0,100,1,29000
57196,2021-11-16 05:18:19,Intel Xeon Gold 6354,4.0,72M,0.317281,56725504.0,400,71,6392000
3979,2021-11-08 14:11:41,Intel Xeon Platinum 8356H,0.5,80M,0.0,36806656.0,100,1,96000
58291,2021-11-15 20:33:36,Intel Xeon Platinum 8380HL,3.5,66M,0.222469,50036736.0,200,61,6242000
15643,2021-11-09 23:31:14,Intel Core i5-11400T,0.5,73M,0.453086,68812800.0,900,91,20299000
24163,2021-11-15 11:32:09,AMD EPYC 7663,3.5,71M,0.276367,59543552.0,400,81,7480000
58141,2022-03-17 01:51:55,Intel Xeon Gold 6312U,0.8,384M,0.140574,48320512.0,400,21,2034000
42888,2022-03-17 06:56:16,AMD EPYC 7663,0.3,384M,0.081,48222208.0,200,41,4168000
48499,2022-03-11 09:01:27,Intel Xeon Gold 6346,0.3,384M,0.143267,58015744.0,900,51,5335000
40507,2021-11-15 11:56:44,Intel Core i3-10105,3.5,71M,0.329617,63131648.0,700,1,40000
46839,2022-03-17 01:42:23,Intel Pentium Gold G6505T,0.8,256M,0.019194,43515904.0,100,21,2282000
33191,2021-11-15 16:51:17,AMD Ryzen 7 5700G,3.5,68M,0.217032,49012736.0,200,41,3910000
33318,2021-11-10 12:11:20,Intel Xeon Platinum 8360HL,1.5,67M,0.635063,58580992.0,200,61,6647000
33508,2022-03-05 11:59:52,AMD Ryzen 9 5900HX,0.1,512M,0.09378,61931520.0,300,51,20389000
11147,2021-10-29 01:04:18,Intel Xeon Platinum 8368Q,3.5,200M,0.088466,49356800.0,100,61,6216000
30033,2022-03-17 04:46:58,Intel Pentium Gold G6405,0.5,896M,0.032432,47505408.0,100,51,5873000
25576,2022-03-11 07:42:49,Intel Xeon Platinum 8352V,0.3,384M,0.166539,56143872.0,400,51,5322000
33680,2022-03-16 17:15:45,Intel Core i9-11900T,1.7,768M,0.099186,51585024.0,800,1,36000
36209,2021-10-28 17:29:40,Intel Xeon Platinum 8354H,2.5,100M,0.236195,54407168.0,200,61,6094000
17470,2022-03-07 08:13:46,Intel Xeon Gold 5318Y,0.2,128M,0.057185,48852992.0,100,41,6441000
4056,2022-03-19 01:36:06,AMD Ryzen 9 5900HX,0.9,384M,0.07611,48209920.0,200,21,2007000
32285,2022-03-19 01:54:45,AMD Ryzen 9 5980HS,0.9,128M,0.181838,47714304.0,600,21,2187000
7191,2021-11-15 07:07:14,Intel Xeon Platinum 8360H,3.5,74M,0.427486,53403648.0,1000,21,1977000
34259,2022-03-17 07:52:58,Intel Xeon Gold 5318S,0.3,1024M,0.176352,50536448.0,1000,21,2129000
938,2021-11-16 03:19:04,Intel Pentium Gold G6405T,4.0,73M,0.275366,61112320.0,300,91,9510000
41245,2021-11-15 01:24:29,AMD EPYC 7313,3.0,65M,0.346855,54923264.0,600,21,2006000
16857,2021-11-14 19:16:00,Intel Xeon Silver 4310T,3.0,68M,0.086091,50864128.0,100,81,8203000
55799,2021-11-12 04:37:50,Intel Xeon Gold 5315Y,3.0,69M,0.350085,54812672.0,400,21,1917000
17456,2022-03-18 01:49:13,Intel Core i5-11600KF,0.7,256M,0.144415,49946624.0,700,11,1120000
14797,2021-11-06 01:55:59,Intel Core i5-11600KF,3.5,95M,0.326615,60829696.0,600,71,7192000
46637,2022-03-18 15:56:28,AMD EPYC 7343,1.9,384M,0.153223,49016832.0,600,31,3117000
4075,2021-10-26 22:48:04,Intel Core i3-10105T,0.5,400M,0.448362,64860160.0,600,11,1052000
56944,2022-03-18 18:31:15,AMD EPYC 7313P,1.7,128M,0.112627,49942528.0,1000,41,4010000
26781,2021-11-05 02:10:46,Intel Xeon Gold 5320H,2.5,95M,0.320399,61939712.0,600,91,9469000
10896,2021-11-15 09:25:53,Intel Xeon Gold 5318Y,3.5,72M,0.247715,60334080.0,300,11,988000
11427,2022-03-16 14:07:43,Intel Xeon Platinum 8360HL,2.0,896M,0.096035,50479104.0,700,1,34000
54113,2022-03-17 02:08:38,Intel Core i5-11500T,0.8,1024M,0.171438,50049024.0,700,11,1131000
22905,2022-03-17 23:23:19,Intel Xeon Platinum 8352M,0.9,512M,0.0,33624064.0,100,1,31000
54392,2022-03-07 12:46:41,Intel Xeon Platinum 8352M,0.2,896M,0.142552,63864832.0,500,71,10666000
44634,2022-03-16 17:43:05,Intel Core i7-11700F,1.6,512M,0.023865,45453312.0,100,21,2164000
1111,2022-03-17 23:28:54,Intel Xeon Gold 6354,0.9,1024M,0.143436,49631232.0,300,11,1034000
50798,2021-11-13 03:22:05,AMD Ryzen 5 5500U,2.0,66M,0.0,34496512.0,100,1,37000
6084,2022-03-16 17:58:19,Intel Core i3-10305T,1.6,512M,0.132705,50741248.0,500,31,3012000
18794,2022-03-18 03:51:12,Intel Pentium Gold G6405T,0.5,1024M,0.154388,47071232.0,700,21,1972000
37316,2021-11-09 03:36:10,Intel Xeon Silver 4310,0.5,75M,0.0,35971072.0,100,1,92000
12086,2022-03-06 11:54:49,AMD Ryzen 9 5980HS,0.1,896M,0.100672,71913472.0,900,61,31292000
90,2022-03-18 15:35:44,Intel Xeon Silver 4316,1.9,128M,0.022376,47337472.0,100,41,3951000
38927,2021-11-10 02:27:38,Intel Xeon Platinum 8360HL,1.0,73M,0.407014,65286144.0,400,21,2289000
53976,2022-03-19 01:08:44,Intel Core i7-11700KF,1.0,896M,0.226296,47280128.0,800,21,2007000
25578,2022-03-17 09:02:15,AMD Ryzen 5 5500U,0.2,896M,0.194191,55758848.0,600,31,9171000
19688,2021-11-05 17:19:01,Intel Xeon Gold 6348,3.0,85M,0.239319,60841984.0,300,1,44000
20479,2021-11-12 13:40:31,Intel Core i7-11700KF,2.0,73M,0.299669,56795136.0,400,21,1841000
14068,2022-03-11 15:58:32,AMD Ryzen 7 5700G,1.7,896M,0.082965,45047808.0,200,31,3145000
42357,2022-03-18 14:42:22,AMD EPYC 7443,2.0,768M,0.152,49688576.0,300,41,3834000
11433,2021-10-28 20:09:34,Intel Xeon Platinum 8352M,3.0,200M,0.409329,56287232.0,700,41,4070000
36904,2022-03-16 18:13:30,AMD EPYC 74F3,1.6,896M,0.10431,51314688.0,700,51,4880000
15625,2022-03-17 07:10:59,AMD EPYC 7313,0.3,256M,0.16228,50438144.0,500,31,3065000
26371,2021-11-13 18:51:08,AMD EPYC 7713,2.5,70M,0.367865,62283776.0,700,91,8865000
25374,2022-03-11 10:28:31,Intel Xeon Platinum 8352V,0.4,384M,0.132477,62824448.0,600,91,10129000
55756,2022-03-11 10:15:54,Intel Xeon Gold 6326,0.4,896M,0.128093,62554112.0,500,101,11138000
16749,2022-03-06 18:42:52,AMD EPYC 7713P,0.1,896M,0.100678,66404352.0,1000,1,712000
28828,2022-03-05 23:31:44,AMD EPYC 7443P,0.1,512M,0.100471,65314816.0,900,31,13896000
56596,2022-03-18 15:57:34,Intel Core i3-10305,1.9,1024M,0.14581,48963584.0,600,41,3988000
17244,2022-03-16 14:19:21,Intel Xeon Gold 5318S,2.0,640M,0.145391,50675712.0,800,31,3042000
5145,2022-03-18 02:41:22,AMD Ryzen 5 5500U,0.6,128M,0.126281,51290112.0,600,1,40000
33413,2022-03-16 21:06:46,AMD Ryzen 5 5500U,1.3,1024M,0.095152,52281344.0,700,1,35000
14348,2021-10-26 22:31:43,Intel Core i5-11600,0.5,400M,0.429539,66916352.0,500,1,95000
58615,2022-03-11 09:50:24,AMD EPYC 75F3,0.4,384M,0.14918,53395456.0,300,51,5308000
31609,2022-03-18 17:00:35,Intel Xeon Platinum 8353H,1.8,896M,0.138314,49397760.0,700,11,1038000
8600,2021-11-15 11:13:56,AMD Ryzen 9 5980HS,3.5,71M,0.183289,56737792.0,200,21,2068000
14475,2021-11-10 10:08:04,Intel Xeon Gold 6330,1.5,72M,0.164249,58834944.0,100,41,4279000
1188,2021-10-26 19:16:02,AMD Ryzen 7 5700G,0.5,450M,0.0,41328640.0,100,11,1137000
40240,2021-11-14 00:43:56,Intel Core i5-11600T,2.5,67M,0.533612,55160832.0,700,41,4161000
57430,2021-11-11 13:14:14,Intel Xeon Gold 5318Y,1.5,75M,0.322044,59330560.0,400,81,7505000
57420,2022-03-18 19:54:46,Intel Xeon Gold 6334,1.5,128M,0.188847,49528832.0,600,11,1061000
30323,2022-03-18 19:26:14,Intel Xeon Platinum 8380,1.6,512M,0.212942,49127424.0,1000,11,1048000
6493,2022-03-19 05:18:02,Intel Xeon Gold 6330,0.6,256M,0.170246,50810880.0,900,1,40000
39414,2021-11-15 21:19:37,Intel Core i9-11900KF,3.5,66M,0.363691,53911552.0,700,41,3719000
6516,2022-03-11 07:19:58,AMD EPYC 7313P,0.3,768M,0.023093,42307584.0,100,31,3143000
51620,2022-03-17 01:31:44,Intel Xeon Silver 4310T,0.9,768M,0.10498,52748288.0,1000,1,33000
47432,2022-03-16 20:01:49,Intel Core i5-11600T,1.4,384M,0.145291,51900416.0,600,11,1063000
23934,2021-11-10 10:10:07,Intel Xeon Gold 5320,1.5,72M,0.334082,54145024.0,200,1,42000
58213,2021-11-13 18:18:38,AMD EPYC 75F3,4.0,72M,0.451924,59510784.0,800,61,5882000
53786,2022-03-17 21:51:29,Intel Core i7-11700K,1.1,512M,0.179705,49102848.0,700,21,1893000
17736,2021-11-10 11:51:39,Intel Xeon Gold 6336Y,0.5,68M,0.403235,57970688.0,600,31,3646000
6140,2022-03-04 16:46:52,Intel Xeon Platinum 8368Q,0.1,128M,0.088815,56049664.0,200,1,504000
24287,2022-03-11 14:20:57,Intel Xeon Gold 6348,1.5,384M,0.02661,44146688.0,100,31,2526000
45082,2021-11-13 03:44:31,Intel Xeon Silver 4316,3.5,68M,0.228215,54157312.0,200,31,2968000
7654,2022-03-10 20:15:40,Intel Xeon Gold 6348H,0.2,768M,0.193751,68018176.0,300,91,74197000
43982,2022-03-07 13:28:17,Intel Core i9-11900K,0.2,896M,0.185606,65486848.0,700,71,7473000
7361,2021-11-09 09:49:53,AMD EPYC 7343,0.5,73M,0.44897,65642496.0,600,61,8616000
13315,2022-03-19 07:51:54,AMD EPYC 7453,0.3,896M,0.146918,49577984.0,300,21,1989000
57014,2022-03-18 18:18:14,Intel Xeon Platinum 8353H,1.7,768M,0.183626,47951872.0,900,21,2076000
48653,2021-11-14 21:41:25,Intel Core i7-11700K,3.0,67M,0.453219,53055488.0,600,51,4753000
1457,2022-03-09 14:37:22,Intel Xeon Silver 4316,0.1,384M,0.100372,56242176.0,200,61,105499000
19224,2022-03-18 03:10:37,Intel Core i7-11700F,0.6,896M,0.111367,50634752.0,900,41,4112000
28485,2022-03-17 12:41:43,Intel Xeon Gold 6328H,2.0,256M,0.117117,52998144.0,400,31,2974000
14578,2022-03-18 05:56:22,Intel Xeon Gold 5318Y,0.3,640M,0.134006,52051968.0,700,1,80000
36293,2021-11-10 00:54:32,Intel Xeon Gold 5317,0.5,72M,0.428163,69115904.0,500,101,15397000
45959,2021-11-03 21:23:38,Intel Xeon Gold 6314U,1.0,70M,0.348197,61276160.0,500,21,2186000
47281,2022-03-16 22:02:25,AMD Ryzen 3 5300G,1.2,512M,0.143546,46972928.0,600,21,2091000
51838,2022-03-18 04:55:34,AMD EPYC 7643,0.4,640M,0.184947,49696768.0,700,31,3128000
51364,2021-11-14 06:44:35,Intel Core i5-11600T,3.0,75M,0.434885,56430592.0,500,31,3002000
26692,2022-03-17 14:48:52,Intel Xeon Gold 6312U,1.8,768M,0.143963,47284224.0,600,21,2018000
3018,2021-11-03 17:51:03,AMD Ryzen 5 5500U,1.0,80M,0.383111,61411328.0,700,11,1047000
47410,2022-03-19 08:35:45,Intel Xeon Platinum 8358,0.3,512M,0.194342,51593216.0,900,21,2074000
26538,2021-11-03 16:31:54,AMD EPYC 7643,1.0,85M,0.330379,58503168.0,900,51,5139000
26585,2022-03-11 08:44:30,Intel Xeon Gold 5318H,0.3,640M,0.137758,62038016.0,800,61,6950000
11923,2021-11-15 16:15:30,Intel Xeon Gold 6336Y,3.5,69M,0.414513,53096448.0,900,31,2886000
24739,2022-03-19 02:47:00,AMD EPYC 7543P,0.8,512M,0.144464,47222784.0,500,1,45000
25742,2022-03-17 16:35:55,Intel Xeon Gold 5318N,1.6,512M,0.146458,50475008.0,400,11,1042000
35728,2021-11-12 11:04:38,AMD Ryzen 9 5900HX,2.0,75M,0.410521,58200064.0,900,41,3895000
6703,2021-11-16 05:34:26,Intel Xeon Silver 4310T,4.0,72M,0.349002,60002304.0,600,21,1900000
57105,2021-10-28 00:31:23,Intel Xeon Gold 6338N,1.0,100M,0.210446,56119296.0,200,31,2940000
35715,2022-03-17 01:47:49,AMD Ryzen 7 5800H,0.8,896M,0.106275,48529408.0,300,21,1976000
52843,2022-03-19 06:02:30,AMD EPYC 7443,0.5,640M,0.157794,50032640.0,600,51,4738000
41883,2022-03-18 22:28:31,Intel Core i3-10305T,1.3,896M,0.229411,51359744.0,1000,31,3038000
58165,2021-11-12 03:45:18,Intel Xeon Platinum 8368,1.5,67M,0.334826,50323456.0,400,51,4620000
14545,2022-03-18 03:24:45,Intel Xeon Platinum 8376H,0.5,640M,0.0212,43229184.0,100,41,4097000
2645,2022-03-19 11:32:47,Intel Xeon Gold 6348,0.2,768M,0.202359,58568704.0,1000,41,12613000
58380,2022-03-19 03:27:49,Intel Xeon Platinum 8360HL,0.8,1024M,0.25146,49184768.0,1000,21,1994000
16570,2021-11-13 20:12:54,Intel Xeon Gold 6328HL,2.5,69M,0.307664,61026304.0,500,1,49000
23709,2021-11-05 03:23:41,Intel Xeon Platinum 8354H,2.5,90M,0.154244,56217600.0,200,11,1079000
20338,2022-03-11 18:03:18,AMD EPYC 7443,1.9,256M,0.106783,49786880.0,300,1,39000
8106,2022-03-18 03:29:17,Intel Pentium Gold G6505,0.5,128M,0.112949,46039040.0,300,21,1915000
2166,2022-03-09 18:53:02,Intel Core i3-10105T,0.1,768M,0.100618,65028096.0,400,101,237598000
32473,2022-03-18 00:09:44,Intel Xeon Platinum 8351N,0.9,640M,0.11873,49635328.0,900,41,3952000
28437,2021-11-14 07:39:04,AMD EPYC 7513,3.0,75M,0.60534,58236928.0,900,31,2829000
20065,2022-03-18 04:38:43,Intel Xeon Platinum 8351N,0.4,512M,0.127679,50085888.0,500,1,71000
36342,2022-03-16 20:13:23,AMD Ryzen 7 5800HS,1.4,896M,0.095335,52383744.0,700,51,5010000
20488,2022-03-16 20:46:04,Intel Core i3-10325,1.3,768M,0.075084,48656384.0,200,51,4722000
19437,2022-03-16 20:57:51,AMD EPYC 7543,1.3,128M,0.142194,51220480.0,500,31,3042000
16773,2021-11-16 07:07:36,Intel Pentium Gold G6605,4.0,71M,0.33271,58699776.0,400,61,6217000
19717,2022-03-17 13:30:08,Intel Core i7-11700T,1.9,896M,0.010463,43114496.0,100,21,2030000
4932,2021-10-27 17:55:17,AMD EPYC 73F3,0.5,100M,0.102039,49983488.0,100,51,5994000
33640,2021-11-12 18:36:20,Intel Xeon Platinum 8352M,3.5,73M,0.382454,64520192.0,700,101,9694000
24208,2022-03-17 12:54:56,AMD Ryzen 9 5900HX,2.0,256M,0.145711,54190080.0,600,51,4960000
56142,2022-03-17 13:13:40,Intel Core i5-11500,2.0,640M,0.181993,49065984.0,900,21,2020000
37821,2022-03-17 06:05:28,Intel Core i7-11700K,0.4,512M,0.13806,47009792.0,500,31,3022000
46683,2022-03-16 23:42:50,Intel Xeon Gold 6338N,1.0,640M,0.019094,51040256.0,100,41,3963000
58748,2021-11-13 22:05:20,AMD EPYC 72F3,2.5,68M,0.533119,51105792.0,400,41,4002000
54279,2021-11-11 09:03:13,Intel Core i3-10325,1.0,67M,0.368496,56205312.0,1000,61,6028000
29479,2022-03-19 04:08:54,Intel Xeon Platinum 8360H,0.7,384M,0.21343,51458048.0,800,11,1090000
53552,2022-03-16 21:51:41,Intel Xeon Gold 6342,1.2,384M,0.14162,49156096.0,400,21,2055000
3723,2021-11-06 03:53:12,Intel Core i5-11400,3.5,90M,0.330768,61063168.0,600,81,8773000
43984,2022-03-11 16:23:45,Intel Xeon Gold 6314U,1.7,640M,0.175678,48287744.0,700,21,2034000
8810,2022-03-07 12:17:57,Intel Xeon Platinum 8360HL,0.2,256M,0.181588,65056768.0,400,71,11649000
40270,2022-03-17 03:01:39,AMD EPYC 7543P,0.7,128M,0.092829,51474432.0,600,1,36000
3281,2021-11-05 03:21:51,AMD EPYC 7443P,2.5,90M,0.082462,50966528.0,100,61,6108000
53727,2021-11-16 08:34:24,AMD EPYC 7713,4.0,70M,0.02529,39567360.0,100,21,2205000
45761,2021-11-14 09:19:42,Intel Xeon Gold 6338T,3.0,74M,0.34546,59932672.0,800,61,5762000
18081,2022-03-17 01:41:42,AMD EPYC 7643,0.8,384M,0.0,41717760.0,100,1,29000
41054,2022-03-17 14:28:49,Intel Xeon Platinum 8362,1.8,512M,0.013694,44199936.0,100,21,1980000
25526,2022-03-17 04:18:42,Intel Core i3-10105,0.6,896M,0.170424,51212288.0,800,11,1089000
20544,2022-03-17 14:40:44,Intel Core i7-11700K,1.8,384M,0.126729,52867072.0,400,51,4970000
5886,2022-03-06 20:30:23,Intel Core i5-11600KF,0.2,128M,0.154702,56061952.0,200,21,4686000
56137,2022-03-05 02:50:41,Intel Xeon Silver 4310T,0.1,256M,0.096941,58167296.0,400,21,9032000
9701,2022-03-11 16:00:38,Intel Core i5-11600KF,0.1,384M,0.096752,60309504.0,500,51,20015000
32671,2022-03-09 14:03:59,Intel Xeon Platinum 8376H,0.1,256M,0.096789,55189504.0,200,11,12293000
27861,2022-03-17 14:44:07,Intel Xeon Gold 5320T,1.8,128M,0.143749,49217536.0,500,31,2980000
32590,2022-03-11 11:20:49,Intel Xeon Platinum 8380,1.0,512M,0.162314,43991040.0,1000,1,60000
10118,2022-03-11 03:30:38,AMD Ryzen 7 5800H,0.2,768M,0.20083,70492160.0,900,71,43498000
16157,2021-11-10 17:18:03,Intel Xeon Silver 4316,2.0,71M,0.359547,65740800.0,200,31,3191000
24606,2022-03-17 02:45:26,Intel Xeon Platinum 8376H,0.7,1024M,0.067808,48631808.0,200,21,1984000
40272,2021-11-11 01:21:17,Intel Core i3-10105T,1.0,71M,0.42868,58761216.0,900,21,1912000
3578,2021-11-10 11:05:05,Intel Xeon Gold 6328HL,0.5,68M,0.092513,53137408.0,100,71,6655000
26360,2022-03-19 07:53:06,Intel Core i5-11400,0.3,128M,0.123479,50040832.0,300,41,4015000
1606,2022-03-16 17:12:05,Intel Xeon Silver 4310T,1.7,896M,0.140402,51400704.0,700,31,2983000
39473,2021-11-15 12:16:47,Intel Core i5-11600T,3.5,71M,0.370817,57749504.0,800,41,3847000
32592,2022-03-17 13:40:21,Intel Core i9-11900F,1.9,896M,0.125112,48648192.0,400,31,2884000
36857,2021-11-10 04:04:56,Intel Xeon Platinum 8380HL,0.5,71M,0.434911,57118720.0,600,31,4915000
21466,2022-03-11 09:42:08,Intel Xeon Platinum 8358,0.4,384M,0.133622,56500224.0,200,21,2032000
17066,2021-11-13 00:18:46,AMD EPYC 7643,3.5,70M,0.480695,53755904.0,600,41,3825000
16711,2022-03-17 02:29:31,Intel Xeon Platinum 8380HL,0.8,384M,0.132605,52166656.0,900,41,4068000
5935,2022-03-19 10:33:54,Intel Xeon Platinum 8358P,0.2,768M,0.1816,57077760.0,800,41,4243000
45511,2022-03-18 18:33:04,AMD Ryzen 7 5700G,1.7,128M,0.118709,50851840.0,1000,51,5027000
39272,2021-11-06 05:12:12,AMD EPYC 73F3,3.5,85M,0.226037,54722560.0,200,51,5232000
24494,2022-03-18 02:33:36,Intel Xeon Platinum 8352V,0.6,640M,0.124296,48160768.0,400,31,2943000
17192,2021-11-10 00:36:18,Intel Xeon Gold 6346,1.0,75M,0.248986,55447552.0,200,81,9115000
5001,2021-11-12 11:38:55,AMD EPYC 7313,3.0,65M,0.350815,55525376.0,600,71,6608000
2923,2021-11-06 16:16:01,Intel Core i3-10105F,4.0,95M,0.337827,64487424.0,800,101,10410000
38219,2022-03-18 14:59:15,Intel Xeon Platinum 8360HL,2.0,1024M,0.145552,52383744.0,600,51,5018000
17356,2022-03-18 23:30:18,AMD EPYC 7713P,1.2,1024M,0.123042,50597888.0,1000,41,3890000
30753,2021-11-03 10:44:05,AMD EPYC 7543,0.5,65M,0.410139,59482112.0,400,51,6317000
7827,2022-03-17 22:38:15,Intel Core i7-11700F,1.0,768M,0.131828,50159616.0,500,11,1095000
4811,2021-11-13 13:33:00,Intel Core i5-11600,4.0,74M,0.537746,61779968.0,600,1,207000
16270,2022-03-18 02:24:09,Intel Xeon Gold 5320T,0.6,512M,0.02483,48680960.0,100,51,4796000
41843,2021-11-10 14:05:31,Intel Core i5-11400,0.5,66M,0.314,56406016.0,400,41,5330000
39750,2022-03-11 07:33:25,Intel Xeon Platinum 8368,0.3,256M,0.146464,55742464.0,300,51,5626000
24580,2021-11-12 03:28:29,Intel Xeon Platinum 8362,1.5,67M,0.085942,48844800.0,100,71,6833000
8156,2022-03-17 18:27:50,Intel Core i7-11700,1.4,640M,0.028613,50032640.0,200,1,42000
25903,2021-11-04 23:53:05,AMD EPYC 72F3,2.0,70M,0.373398,52793344.0,600,31,3090000
16481,2022-03-18 20:41:12,AMD EPYC 75F3,1.4,896M,0.156795,46694400.0,300,31,2736000
16754,2022-03-17 21:45:19,Intel Xeon Silver 4309Y,1.1,384M,0.155106,47411200.0,600,21,1994000
40487,2022-03-19 03:46:58,Intel Core i3-10105T,0.7,512M,0.141872,52195328.0,400,51,5244000
5809,2022-03-11 08:48:21,AMD EPYC 7313,0.3,1024M,0.131448,62967808.0,800,71,7688000
22294,2022-03-17 19:26:56,Intel Core i9-11900T,1.3,384M,0.024876,49487872.0,100,41,3679000
36207,2022-03-05 04:23:38,Intel Xeon Gold 6312U,0.1,256M,0.101151,73584640.0,900,91,43170000
50732,2022-03-19 10:56:39,AMD EPYC 7513,0.2,768M,0.202113,56516608.0,900,31,8918000
18478,2022-03-18 00:26:53,AMD Ryzen 7 5800H,0.8,512M,0.083309,48111616.0,200,41,4118000
1231,2021-11-10 20:35:39,Intel Xeon Gold 6338T,1.0,73M,0.310435,54382592.0,400,41,4063000
16492,2022-03-19 05:51:40,AMD Ryzen 7 5700G,0.5,1024M,0.159513,52367360.0,500,1,70000
47389,2022-03-18 21:37:21,AMD Ryzen 7 5700G,1.3,512M,0.074728,45187072.0,200,31,2994000
55360,2022-03-18 20:41:48,Intel Xeon Gold 5318Y,1.4,1024M,0.155523,47788032.0,300,41,3919000
4968,2021-11-11 12:01:27,Intel Xeon Gold 5318H,1.0,65M,0.426886,52469760.0,800,31,2767000
20226,2022-03-17 07:24:17,Intel Core i5-11600,0.3,1024M,0.163569,48570368.0,700,21,2051000
3110,2022-03-16 19:27:56,AMD EPYC 7713P,1.5,128M,0.164247,50331648.0,900,31,3163000
27271,2022-03-19 06:30:20,Intel Core i5-11400,0.5,128M,0.164663,51482624.0,1000,1,56000
